,scenario_name,scenario_variant,variable,use_technology_fuel,model,time_resolution,timestamp,value
3059,abroad-nores-full,reference,electricity_consumption_typical_day,elec_appliances,secmod,typical-day,01.07.2050 19:00,5.029970008970382
3060,abroad-nores-full,reference,electricity_consumption_typical_day,elec_appliances,secmod,typical-day,01.07.2050 20:00,4.943857765460232
3061,abroad-nores-full,reference,electricity_consumption_typical_day,elec_appliances,secmod,typical-day,01.07.2050 21:00,4.970724785549524
3062,abroad-nores-full,reference,electricity_consumption_typical_day,elec_appliances,secmod,typical-day,01.07.2050 22:00,4.620764627575886
3063,abroad-nores-full,reference,electricity_consumption_typical_day,elec_appliances,secmod,typical-day,01.07.2050 23:00,4.3009859389583145
3064,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 00:00,1.2375193859595282
3065,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 01:00,1.6792131196405338
3066,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 02:00,2.5585264942709056
3067,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 03:00,1.6081669313921287e-06
3068,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 04:00,1.5778140907394736e-06
3069,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 05:00,1.59763587205405e-06
3070,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 06:00,1.6156520780677466e-06
3071,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 07:00,4.703853917465879e-06
3072,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 08:00,2.587927168033486
3073,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 09:00,2.618322203570997
3074,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 10:00,2.4980926868852324
3075,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 11:00,2.328863299084998
3076,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 12:00,2.270267356684229
3077,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 13:00,2.7589687966002368
3078,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 14:00,2.9661627696101047
3079,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 15:00,2.575341387781168e-06
3080,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 16:00,1.025471219949951e-06
3081,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 17:00,9.615936811602284e-07
3082,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 18:00,9.8980955419473e-07
3083,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 19:00,1.0276235298403512e-06
3084,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 20:00,1.174604185149679e-06
3085,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 21:00,3.147833662492212e-06
3086,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 22:00,4.757468929025027e-05
3087,abroad-nores-full,reference,electricity_consumption_typical_day,battery_in,secmod,typical-day,01.02.2050 23:00,3.560672031973049e-05
