scenario_variant,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8,wacc_5,wacc_8
scenario_name,abroad-nores-high,abroad-nores-high,abroad-nores-low,abroad-nores-low,abroad-nores-medium,abroad-nores-medium,abroad-nores-phaseout,abroad-nores-phaseout,abroad-res-high,abroad-res-high,abroad-res-low,abroad-res-low,abroad-res-medium,abroad-res-medium,abroad-res-phaseout,abroad-res-phaseout,abroad-resnuc-high,abroad-resnuc-high,abroad-resnuc-low,abroad-resnuc-low,abroad-resnuc-medium,abroad-resnuc-medium,abroad-resnuc-phaseout,abroad-resnuc-phaseout
model,,,,,,,,,,,,,,,,,,,,,,,,
ses,0.003436340341194457,0.00011582873412173277,0.003582807179237827,2.558871465248969e-05,0.0044493379210063235,-8.530865868595072e-05,0.0,0.0,0.000870555355409543,0.0008014682999027343,-0.001965906793722151,0.0005701271527511364,-0.0005534431152877776,0.002245828239595859,0.0,0.0,-0.004810353866010526,0.001133506378259976,-0.9725333013759707,0.0004053481175682447,-0.0030339973134100727,-0.00196974737854782,0.0,0.0
seseth,0.0011395593602070374,0.001784166015436307,-0.5170788785880406,-0.001353399905528057,0.0,0.0,0.0,0.0,0.09289345248854519,0.09349480708503154,0.09096827573235121,0.0904851031411407,0.09178243445214386,0.09177245697652224,0.0,0.0,0.001110019526646471,0.001726675187673081,-3.3721394789456793,-1.1428446081013945,-1.0744431071678298,0.0,0.0,0.0
stem,-0.07314238762057898,-0.05293032376596431,-0.18265023483929846,-0.15135197977116832,-0.12932706001646851,-0.09905735298682736,0.0,0.0,0.0,0.0,-0.04896823394087238,-0.029216312568377274,-0.03137487789470362,0.0,0.0,0.0,-0.02620592518990225,0.0,-0.12109587792741217,-0.0810931258645808,-0.06616971401056182,-0.024420232449791867,0.0,0.0
