,scenario_name,scenario_variant,model,time_resolution,timestamp,variable,use_technology_fuel,value
66,domestic-nores-lim,reference,zengarden,annual,2025,electricity_supply,net_imports,5.489787749999998
67,domestic-nores-lim,reference,zengarden,annual,2030,electricity_supply,net_imports,0.0
68,domestic-nores-lim,reference,zengarden,annual,2035,electricity_supply,net_imports,0.0
69,domestic-nores-lim,reference,zengarden,annual,2040,electricity_supply,net_imports,0.0
70,domestic-nores-lim,reference,zengarden,annual,2045,electricity_supply,net_imports,0.0
71,domestic-nores-lim,reference,zengarden,annual,2050,electricity_supply,net_imports,2.929131659999996
72,domestic-res-full,reference,secmod,annual,2050,electricity_supply,net_imports,11.057397100000003
73,domestic-res-full,reference,seseth,annual,2050,electricity_supply,net_imports,0.8714519999999997
74,domestic-res-full,reference,stem,annual,2030,electricity_supply,net_imports,0.0
75,domestic-res-full,reference,stem,annual,2035,electricity_supply,net_imports,0.0
76,domestic-res-full,reference,stem,annual,2040,electricity_supply,net_imports,0.0
77,domestic-res-full,reference,stem,annual,2050,electricity_supply,net_imports,0.27950985000000017
78,domestic-res-full,reference,zengarden,annual,2025,electricity_supply,net_imports,5.632237890000006
79,domestic-res-full,reference,zengarden,annual,2030,electricity_supply,net_imports,0.0
80,domestic-res-full,reference,zengarden,annual,2035,electricity_supply,net_imports,0.0
81,domestic-res-full,reference,zengarden,annual,2040,electricity_supply,net_imports,0.0
82,domestic-res-full,reference,zengarden,annual,2045,electricity_supply,net_imports,0.0
83,domestic-res-full,reference,zengarden,annual,2050,electricity_supply,net_imports,3.34054218
84,domestic-res-lim,reference,secmod,annual,2050,electricity_supply,net_imports,11.301822229999999
85,domestic-res-lim,reference,seseth,annual,2050,electricity_supply,net_imports,4.783657999999999
86,domestic-res-lim,reference,stem,annual,2030,electricity_supply,net_imports,0.0
87,domestic-res-lim,reference,stem,annual,2035,electricity_supply,net_imports,0.0
88,domestic-res-lim,reference,stem,annual,2040,electricity_supply,net_imports,0.0
89,domestic-res-lim,reference,stem,annual,2050,electricity_supply,net_imports,0.0
90,domestic-res-lim,reference,zengarden,annual,2025,electricity_supply,net_imports,5.489787749999998
91,domestic-res-lim,reference,zengarden,annual,2030,electricity_supply,net_imports,0.0
92,domestic-res-lim,reference,zengarden,annual,2035,electricity_supply,net_imports,0.0
93,domestic-res-lim,reference,zengarden,annual,2040,electricity_supply,net_imports,0.0
94,domestic-res-lim,reference,zengarden,annual,2045,electricity_supply,net_imports,0.0
95,domestic-res-lim,reference,zengarden,annual,2050,electricity_supply,net_imports,2.929131659999996
96,abroad-nores-full,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
97,abroad-nores-full,reference,seseth,annual,2050,electricity_consumption,net_exports,0.0
98,abroad-nores-full,reference,stem,annual,2030,electricity_consumption,net_exports,5.898175710000002
99,abroad-nores-full,reference,stem,annual,2035,electricity_consumption,net_exports,0.6009501000000004
100,abroad-nores-full,reference,stem,annual,2040,electricity_consumption,net_exports,0.0
101,abroad-nores-full,reference,stem,annual,2050,electricity_consumption,net_exports,0.0
102,abroad-nores-full,reference,zengarden,annual,2025,electricity_consumption,net_exports,0.0
103,abroad-nores-full,reference,zengarden,annual,2030,electricity_consumption,net_exports,9.59576672
104,abroad-nores-full,reference,zengarden,annual,2035,electricity_consumption,net_exports,17.303645860000003
105,abroad-nores-full,reference,zengarden,annual,2040,electricity_consumption,net_exports,13.71567701
106,abroad-nores-full,reference,zengarden,annual,2045,electricity_consumption,net_exports,3.540620169999997
107,abroad-nores-full,reference,zengarden,annual,2050,electricity_consumption,net_exports,1.017033320000003
108,abroad-nores-lim,reference,secmod,annual,2050,electricity_consumption,net_exports,0.0
109,abroad-nores-lim,reference,seseth,annual,2050,electricity_consumption,net_exports,0.0
