scenario_name,model,variable,use_technology_fuel,time_resolution,timestamp,value
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2035,17.222625532084546
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2035,1.90235968713546
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2040,14.094771563240725
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2040,7.034573421306793e-09
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2045,6.085365313148594
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2045,6.1054175259233886e-09
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2050,1.6216307484244776
domestic-nores-full,zengarden,passenger_road_private_fec,oil,annual,2050,2.5872298428464483e-08
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.667101806446923
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.0036740383568674
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,2.951155767905832
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,0.003674044140092
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,4.909766661800518
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611863494915
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,6.001041427423327
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,1.1102045646125684
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,8.333283162828243
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108220682033048
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,9.796999654724972
domestic-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,1.1108216458758786
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2025,35.87773046537936
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2025,3.150058388446723
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2030,27.82892363842315
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2030,3.15005330331843
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2035,19.82435803503932
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2035,1.9023544215756685
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2040,16.69650388446791
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2040,2.9446557255675922e-08
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2045,12.741865558262806
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2045,2.510464692329015e-08
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2050,9.986623537126771
domestic-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2050,1.0778028813486334e-07
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.6671017455541278
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.003674041673172
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2030,2.951155708229521
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2030,0.003674042992562
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2035,6.611320465536261
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611740727125
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2040,7.702595158757754
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2040,1.1104732386716951
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2045,12.686687984949923
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108221196102226
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2050,15.267771650428536
domestic-res-full,zengarden,passenger_road_private_fec,electricity,annual,2050,1.1108220173456531
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2025,35.87773010896996
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2025,3.1500592650551145
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2030,27.82892328967479
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2030,3.1500579804730253
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2035,17.222625532084546
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2035,1.90235968713546
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2040,14.094771563240725
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2040,7.034573421306793e-09
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2045,6.085365313148594
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2045,6.1054175259233886e-09
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2050,1.6216307484244776
domestic-res-full,zengarden,passenger_road_private_fec,oil,annual,2050,2.5872298428464483e-08
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.667101806446923
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.0036740383568674
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,2.951155767905832
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,0.003674044140092
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,4.909766661800518
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611863494915
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,6.001041427423327
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,1.1102045646125684
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,8.333283162828243
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108220682033048
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,9.796999654724972
domestic-res-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,1.1108216458758786
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2025,35.87773046537936
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2025,3.150058388446723
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2030,27.82892363842315
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2030,3.15005330331843
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2035,19.82435803503932
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2035,1.9023544215756685
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2040,16.69650388446791
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2040,2.9446557255675922e-08
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2045,12.741865558262806
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2045,2.510464692329015e-08
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2050,9.986623537126771
domestic-res-lim,zengarden,passenger_road_private_fec,oil,annual,2050,1.0778028813486334e-07
