scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,STEM,"Space heating, DHW|CHP-Waste",TWh,annual,2050,1.828112328
abroad-alone,STEM,"Space heating, DHW|CHP-Wood",TWh,annual,2050,1.180086186
abroad-alone,STEM,"Space heating, DHW|Electric heater",TWh,annual,2050,0.179065936
abroad-alone,STEM,"Space heating, DHW|Geothermal",TWh,annual,2050,0.951011676
abroad-alone,STEM,"Space heating, DHW|Heat pumps",TWh,annual,2050,30.13523834
abroad-alone,STEM,"Space heating, DHW|Solar thermal",TWh,annual,2050,3.764957649
abroad-alone,STEM,"Space heating, DHW|Total",TWh,annual,2050,43.23688781
abroad-alone,STEM,Transport|Electricity,TWh,annual,2050,13.82877474
abroad-alone,STEM,Transport|Gas,TWh,annual,2050,2.257660937
abroad-alone,STEM,Transport|Hydrogen,TWh,annual,2050,5.491047186
abroad-alone,STEM,Transport|Oil,TWh,annual,2050,5.372743043
abroad-alone,STEM,Transport|Total,TWh,annual,2050,26.9502259
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 00:00,4.722131458
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 01:00,4.791219724
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 02:00,4.516757877
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 03:00,4.105165712
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 04:00,3.633167334
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 05:00,3.594581116
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 06:00,3.271097891
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 07:00,4.008481194
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 08:00,4.526964033
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 09:00,5.13888277
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 10:00,5.218300804
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 11:00,5.567877156
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 12:00,5.665905647
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 13:00,5.705216477
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 14:00,5.339749638
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 15:00,5.381913318
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 16:00,5.146130777
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 17:00,4.659112891
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 18:00,4.521108757
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 19:00,4.293987996
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 20:00,4.319276702
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 21:00,4.390703434
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 22:00,4.445654034
abroad-alone,STEM,Electricity-consumption|Base,GW,typical-day-summer,2050 23:00,4.085736663
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 06:00,1.302113822
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 07:00,0.005364428
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 08:00,0.778618142
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 09:00,1.351045108
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 10:00,2.728561172
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 11:00,2.668282164
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 12:00,0.781707915
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 13:00,7.72e-05
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 14:00,6.86e-05
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 15:00,8.56e-05
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 16:00,7.64e-05
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 17:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 18:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 19:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 20:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 21:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 22:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 23:00,0.0
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 00:00,0.065875891
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 01:00,0.141703689
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 02:00,0.198037698
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 03:00,0.290027681
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 04:00,0.157977429
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 05:00,1.122242527
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 06:00,1.661214434
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 07:00,2.193783338
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 08:00,3.15875728
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 09:00,4.222591096
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 10:00,2.200806907
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 11:00,3.640930352
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 12:00,4.499163162
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 13:00,4.53615042
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 14:00,2.44276279
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 15:00,1.635494767
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 16:00,0.447156508
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 17:00,0.337802635
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 18:00,0.26956888
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 19:00,0.524523519
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 20:00,0.233832724
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 21:00,0.107946981
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 22:00,0.092167393
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 23:00,0.082631904
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 00:00,0.573
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 01:00,0.38
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 02:00,0.227
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 03:00,0.189
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 04:00,0.371
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 05:00,0.423
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 06:00,0.579038006
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 07:00,1.122195904
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 08:00,1.386743209
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 09:00,1.216435446
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 10:00,1.299758711
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 11:00,1.067566729
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 12:00,0.963342483
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 13:00,0.642749839
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 14:00,0.439042498
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 15:00,0.37534245
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 16:00,0.236
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 17:00,0.000166
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 18:00,0.000285
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 19:00,0.0111
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 20:00,0.249
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 21:00,0.000405
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 22:00,0.000234
abroad-alone,STEM,Electricity-consumption|Electric heaters,GW,typical-day-summer,2050 23:00,0.00141
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 00:00,3.423947822
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 01:00,3.318148094
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 02:00,3.285687792
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 03:00,3.427794556
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 04:00,4.244468478
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 05:00,4.951622307
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 06:00,5.673359044
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 07:00,6.150287964
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 08:00,5.696217399
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 09:00,5.101661579
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 10:00,4.620221909
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 11:00,4.034416498
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 12:00,4.461150773
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 13:00,5.793125834
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 14:00,5.659038458
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 15:00,5.67325723
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 16:00,5.162603602
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 17:00,4.764988668
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 18:00,4.560068409
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 19:00,4.468349238
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 20:00,4.468351831
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 21:00,4.250219766
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 22:00,4.206962621
abroad-alone,STEM,Electricity-consumption|Electrolysis,GW,typical-day-summer,2050 23:00,3.864492187
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 00:00,0.001223736
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 01:00,1.58e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 02:00,1.48e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 03:00,1.45e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 04:00,1.42e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 05:00,1.47e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 06:00,2.23e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 07:00,1.92e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 08:00,3.27e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 09:00,0.372174391
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 10:00,0.0
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 11:00,0.0
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 12:00,0.317287616
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 13:00,0.747950329
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 14:00,1.14e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 15:00,1.43e-05
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 16:00,1.440416298
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 17:00,1.422999777
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 18:00,1.424564526
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 19:00,1.424017874
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 20:00,1.424591655
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 21:00,1.412025139
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 22:00,1.409881753
abroad-alone,STEM,Electricity-consumption|Exports,GW,typical-day-summer,2050 23:00,1.40793643
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 00:00,0.738917078
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 01:00,0.720107021
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 02:00,0.679567042
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 03:00,0.598307196
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 04:00,0.513206686
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 05:00,0.456558564
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 06:00,0.440118419
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 07:00,0.329601197
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 08:00,0.278062886
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 09:00,0.229483607
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 10:00,0.230743883
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 11:00,0.20092787
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 12:00,0.227878552
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 13:00,0.283619411
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 14:00,0.214814165
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 15:00,0.450369543
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 16:00,0.544089474
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 17:00,0.581838828
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 18:00,0.60333775
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 19:00,0.612820918
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 20:00,0.620694501
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 21:00,0.617390249
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 22:00,0.620030041
abroad-alone,STEM,Electricity-consumption|Grid-losses,GW,typical-day-summer,2050 23:00,0.618398853
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 00:00,0.127713977
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 01:00,0.052719244
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 02:00,0.034026638
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 03:00,0.022708037
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 04:00,0.034227297
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 05:00,0.227404383
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 06:00,0.314655583
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 07:00,0.450558796
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 08:00,0.460903465
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 09:00,0.419848432
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 10:00,1.695987809
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 11:00,0.86956399
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 12:00,1.126363282
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 13:00,0.268967319
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 14:00,0.186896136
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 15:00,0.2964363
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 16:00,0.119017907
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 17:00,0.000886052
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 18:00,0.001210223
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 19:00,0.013778502
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 20:00,0.051350928
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 21:00,0.001454702
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 22:00,0.001070335
abroad-alone,STEM,Electricity-consumption|Heat pumps,GW,typical-day-summer,2050 23:00,0.001935414
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 00:00,0.002320981
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 01:00,0.002382449
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 02:00,0.002360685
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 03:00,0.002213428
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 04:00,0.001766465
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 05:00,0.002313656
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 06:00,0.002676744
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 07:00,0.002880014
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 08:00,0.002880063
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 09:00,0.002880071
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 10:00,0.00172062
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 11:00,0.002876901
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 12:00,0.002880088
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 13:00,0.002880099
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 14:00,0.002879987
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 15:00,0.002879405
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 16:00,0.002537989
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 17:00,0.002878599
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 18:00,0.002850542
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 19:00,0.002872065
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 20:00,0.002434385
abroad-alone,STEM,Electricity-consumption|New processes,GW,typical-day-summer,2050 21:00,0.002349431
