scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-together,2050,Biofuel-processes|New processes,0.008557036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-consumption|New processes,0.024549528,0.003897877,0.003898127,0.003898049,0.003897875,0.00389653,0.003896164,0.003896152,0.003895678,0.003896937,0.003896888,0.003896872,0.003896864,0.003896868,0.003896887,0.003896902,0.003893951,6.03E-05,1.25E-05,1.15E-05,1.11E-05,0.00389425,0.003895949,0.003896949,0.003896863,6.29E-05,6.29E-05,6.28E-05,6.27E-05,6.25E-05,6.19E-05,0.000175563,0.000272706,0.000274569,0.00027529,0.000275969,0.000275705,0.000276063,0.000275656,0.00027493,0.000275109,8.56E-05,6.33E-05,6.37E-05,6.36E-05,6.35E-05,6.34E-05,6.33E-05,6.32E-05
abroad-together,2050,Electricity-consumption|Electric heaters,0.031728358,0.007700342,0.008010481,0.008089342,0.008197634,0.007350082,0.007550724,0.007914958,0.008086101,0.008682118,0.008705833,0.008727886,0.008748647,0.008768859,0.008789602,0.008812751,0.008775089,0.008014522,0.001845918,0.000697097,0.000874439,0.007306608,0.006444004,0.006909016,0.006146434,0.000565934,0.000561963,0.000556482,0.000548497,0.00053416,0.000505596,0.00201844,0.002681608,0.002225515,0.00202343,0.001921503,0.001887575,0.001918199,0.002023184,0.002253874,0.002819614,0.000692956,0.000508349,0.000529425,0.000547432,0.000561073,0.000569562,0.000573711,0.000575292
abroad-together,2050,Electricity-consumption|Electrolysis,0.013751154,0.000247334,0.000252777,0.000245645,0.000237995,0.000193084,0.000184081,0.000182138,0.000180394,0.000260691,0.000259343,0.000260288,0.000261804,0.000261208,0.000259361,0.000259505,0.000164172,4.72E-05,3.15E-05,3.03E-05,2.94E-05,0.000164232,0.000209819,0.000256493,0.000255616,0.001090004,0.001101964,0.001124324,0.001156761,0.001210855,0.001296097,0.002812817,0.002900301,0.002898604,0.002898194,0.002897201,0.00289792,0.002898267,0.002898169,0.002898872,0.002900223,0.002332135,0.001410688,0.001310433,0.001243727,0.001194459,0.001158826,0.001130538,0.001113714
abroad-together,2050,Electricity-consumption|Exports,21.34802125,4.876215276,4.884779639,4.113082459,2.412832984,3.322358104,5.412905786,6.711519844,6.449355851,0,0,0,0,0,0,0,0,4.771814241,13.68457796,6.806786723,6.861248189,8.404434767,8.799751742,0.696235448,0,6.148849488,6.140286002,6.133386765,6.0898242,4.728084887,2.639731928,4.189839596,0.002484288,0.002908684,0.002924986,0.002924985,0.00292666,0.002938409,0.002942772,0.002922585,0.007783554,6.020734781,2.984018945,6.099029243,6.093983878,6.062729924,6.076744583,6.077737122,6.070688188
abroad-together,2050,Electricity-consumption|Flexibility-in,2.10458642,0.000126135,0.000154883,0.000130929,0.000264669,1.98E-06,8.67E-05,0.000104885,8.83E-06,0.000251882,0.000132494,0.000132794,0.000133191,0.00013353,0.000132668,0.001577571,15.97846204,1.629127821,0,1.98E-05,0,0.00021615,0.000135472,0.000207881,0.000132108,0.000232674,0.000231545,0.000229291,0.000228887,0.000230824,0,0.000516037,0.000385095,0.000318688,0.000329584,0.000353608,0.000363593,0.000356742,0.00034393,0.000312367,0.001866005,0,2.77E-05,0.000242974,0.000237515,0.000235181,0.000233287,0.00023103,0.000231333
abroad-together,2050,Electricity-consumption|Heat pumps,16.56723331,3.048535873,3.125904205,3.328715339,5.246085859,5.1490052,4.11930689,5.40576737,5.425853285,5.254311871,5.025754481,4.845397527,4.705093827,4.574284976,4.568790522,6.159434587,4.849246773,4.742748828,4.718688502,3.16200876,4.50199368,4.345215641,3.827987763,3.105399261,2.960447916,0.23918252,0.232302873,0.260790394,0.381248407,0.563149217,0.647948922,0.621338232,0.544928499,0.500554594,0.463013847,0.421500498,0.406964325,0.367817787,0.368195339,0.355977585,1.208483506,0.389737581,0.36512488,0.064814794,0.017646699,0.439815825,0.37973203,0.278182824,0.222291234
abroad-together,2050,Electricity-consumption|PHS-In,7.935908775,0.002193941,0.002747057,0.001989747,0.001524893,0.000557132,0.000468325,0.000452666,0.000445068,0.002664743,0.00229573,0.002200432,0.002143296,0.002176721,0.002238702,0.002516566,0.000362659,4.86E-05,2.98E-05,2.86E-05,2.82E-05,0.00036727,0.000790277,0.003033622,0.002656773,0.000752119,0.000750332,0.000748412,0.000745337,0.000733931,0.000690513,4.246347182,4.246599662,4.246615787,4.246630096,4.246635103,4.24663639,4.246636414,4.246632144,4.24663219,4.246676756,0.001253764,0.000750948,0.000768892,0.000768502,0.000765194,0.000761148,0.000756866,0.000752773
abroad-together,2050,Electricity-consumption|Syn-fuel production,0.000794918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-consumption|Trains,3.04522844,0.189,0.111,0.0188,0,0,0.0236,0.119,0.445,0.64,0.674,0.628,0.518,0.457,0.43,0.418,0.439,0.527,0.616,0.627,0.634,0.591,0.405,0.285,0.236,0.242,0.0597,0.0417,0.0236,0.00944,0.00944,0.0236,0.0509,0.103,0.159,0.236,0.354,0.402,0.402,0.372,0.366,0.354,0.402,0.417,0.387,0.353,0.297,0.208,0.147
abroad-together,2050,Electricity-supply|Battery-out,0.022152714,0.000804812,0.000752707,0.000798396,0.000824254,0.002754791,0.00609382,0.005487042,0.010120639,0.000755529,0.000821587,0.000847591,0.000850647,0.000838856,0.000804749,0.000736423,0.000927423,0.000442256,0.001954721,0.012957588,0.013108703,0.000890196,0.000981573,0.000775282,0.000869134,0.002567114,0.002641161,0.002780106,0.003033843,0.003595379,0.005710889,0.001818883,0.001799024,0.001914542,0.001965924,0.002004268,0.002022402,0.001982741,0.00193094,0.00183696,0.001621484,0.002847234,0.005343641,0.003619439,0.003094422,0.002839038,0.002697892,0.002627187,0.002604905
