scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,SES-ETH,"Space heating, DHW|Boiler-Wood",TWh,annual,2050,7.41753889
abroad-alone,SES-ETH,"Space heating, DHW|CHP-Gas",TWh,annual,2050,1.107678138
abroad-alone,SES-ETH,"Space heating, DHW|CHP-Hydrogen",TWh,annual,2050,0.0
abroad-alone,SES-ETH,"Space heating, DHW|CHP-Oil",TWh,annual,2050,0.0
abroad-alone,SES-ETH,"Space heating, DHW|CHP-Waste",TWh,annual,2050,10.57712997
abroad-alone,SES-ETH,"Space heating, DHW|CHP-Wood",TWh,annual,2050,0.42994189
abroad-alone,SES-ETH,"Space heating, DHW|Electric heater",TWh,annual,2050,0.013305038
abroad-alone,SES-ETH,"Space heating, DHW|Geothermal",TWh,annual,2050,4.53714138
abroad-alone,SES-ETH,"Space heating, DHW|Heat pumps",TWh,annual,2050,26.6636141
abroad-alone,SES-ETH,"Space heating, DHW|Solar thermal",TWh,annual,2050,1.249995416
abroad-alone,SES-ETH,"Space heating, DHW|Total",TWh,annual,2050,51.99634482
abroad-alone,SES-ETH,Transport|Electricity,TWh,annual,2050,20.1059806
abroad-alone,SES-ETH,Transport|Gas,TWh,annual,2050,0.094879747
abroad-alone,SES-ETH,Transport|Hydrogen,TWh,annual,2050,0.257718927
abroad-alone,SES-ETH,Transport|Oil,TWh,annual,2050,3.81607375
abroad-alone,SES-ETH,Transport|Total,TWh,annual,2050,24.27465302
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 00:00,2.7533798
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 01:00,2.5557973
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 02:00,2.472438
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 03:00,2.4995787
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 04:00,2.531789
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 05:00,3.1224794
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 06:00,3.7485535
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 07:00,4.319455
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 08:00,4.7577558
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 09:00,5.154275
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 10:00,5.4399557
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 11:00,6.0084114
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 12:00,5.835939
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 13:00,5.3741217
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 14:00,5.2131753
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 15:00,5.007263
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 16:00,4.829484
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 17:00,4.6531405
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 18:00,5.0704303
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 19:00,4.8734593
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 20:00,4.2309885
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 21:00,3.4752436
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 22:00,3.1129391
abroad-alone,SES-ETH,Electricity-consumption|Base,GW,typical-day-summer,2050 23:00,2.8424716
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 07:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 08:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 09:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 10:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 11:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 12:00,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 13:00,0.0
