scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 13:00,5.53628346
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 14:00,5.545043703
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 15:00,5.614219675
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 16:00,5.537457101
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 17:00,5.24918855
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 18:00,4.975103754
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 19:00,4.954117362
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 20:00,4.867116782
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 21:00,4.15606897
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 22:00,3.221271059
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 23:00,2.913634894
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 06:00,0.037393124
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 07:00,0.179663213
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 08:00,0.342512426
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 09:00,0.323048232
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 10:00,0.251016961
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 11:00,0.243747251
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 12:00,0.257392558
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 13:00,0.203258882
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 14:00,0.088283376
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 15:00,0.016105141
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 16:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 17:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 18:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 19:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 20:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 21:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 22:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 23:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 00:00,1.075800063
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 01:00,0.705160852
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 02:00,0.422201611
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 03:00,0.254000415
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 04:00,0.173026391
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,GW,typical-day-summer,2050 05:00,0.174833612
