scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,"Nexus-e+
EP2050+",Transport|Gas,TWh,annual,2050,2.397414591
abroad-alone,"Nexus-e+
EP2050+",Transport|Hydrogen,TWh,annual,2050,4.297278511
abroad-alone,"Nexus-e+
EP2050+",Transport|Oil,TWh,annual,2050,12.44775762
abroad-alone,"Nexus-e+
EP2050+",Transport|Total,TWh,annual,2050,36.01671685
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 00:00,4.625807309
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 01:00,4.766111358
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 02:00,4.725088409
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 03:00,4.50037139
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 04:00,4.518055991
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 05:00,4.646330206
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 06:00,4.537814216
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 07:00,5.219457464
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 08:00,5.909916234
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 09:00,6.054717225
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 10:00,6.991425501
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 11:00,7.383945572
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 12:00,7.410975524
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 13:00,7.370058541
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 14:00,7.018666479
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 15:00,6.396503228
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 16:00,6.22229627
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 17:00,5.752927351
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,GW,typical-day-summer,2050 18:00,5.663047578
