scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
cross202506,domestic-nores-full,reference,electricity_consumption,elec_appliances,CH,seseth,TWh,annual,2050,35.939418,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,battery_in,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,phs_in,CH,seseth,TWh,annual,2050,2.256834,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,road_public,CH,seseth,TWh,annual,2050,0.27698343,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,road_private,CH,seseth,TWh,annual,2050,14.575877,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,truck,CH,seseth,TWh,annual,2050,1.7978552,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,ldv,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,passenger_rail,CH,seseth,TWh,annual,2050,2.6231035,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,freight_rail,CH,seseth,TWh,annual,2050,0.72119116,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,space_heating_boiler_electrode,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,space_heating_heater_elec,CH,seseth,TWh,annual,2050,1.2341688,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,space_heating_heat_pump,CH,seseth,TWh,annual,2050,10.948319,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,process_heat_boiler_electrode,CH,seseth,TWh,annual,2050,8.453297,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,process_heat_heater_elec,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,process_heat_heat_pump,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,electrolysis,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,power_to_liquid,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,exports,CH,seseth,TWh,annual,2050,1.6611335,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,grid_losses,CH,seseth,TWh,annual,2050,6.4622266,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_consumption,dac,CH,seseth,TWh,annual,2050,3.1618328,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,methane_chp_woccs,CH,seseth,TWh,annual,2050,3.61E-06,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,methane_chp_ccs,CH,seseth,TWh,annual,2050,0.667965,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,methane_oc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,methane_oc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,methane_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,methane_cc_ccs,CH,seseth,TWh,annual,2050,8.43E-15,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,liquids_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,liquids_chp_ccs,CH,seseth,TWh,annual,2050,3.1533645,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,liquids_oc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,liquids_oc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,liquids_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,liquids_cc_ccs,CH,seseth,TWh,annual,2050,8.43E-15,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,hydrogen_chp,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,hydrogen_cc,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,wood_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,wood_chp_ccs,CH,seseth,TWh,annual,2050,7.66E-15,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,wood_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,wood_cc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,waste_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,waste_chp_ccs,CH,seseth,TWh,annual,2050,2.2146653,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,waste_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,waste_cc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-10-11 12:16:54.717458+00:00
cross202506,domestic-nores-full,reference,electricity_supply,nuclear,CH,seseth,TWh,annual,2050,0.008310375,seseth,2025-10-11 12:16:54.717458+00:00
